"word","sentence","changed_sentence","deleted_word"
"academy","It should also be noted that many of these issues have not greatly exercised the academic community in this country.","It should also be noted that many of these issues have not greatly exercised the _____ community in this country.","academic"
"academy","Many academics, being civil servants, have secure jobs guaranteed for life.","Many _____ being civil servants, have secure jobs guaranteed for life.","academics"
"academy","The college offers both academic and professional qualifications.","The college offers both _____ and professional qualifications.","academic"
"academy","Although this child is bright, he is not academically inclined.","Although this child is bright, he is not _____ inclined.","academically"
"adjust","It took a few seconds for her eyes to adjust to the darkness.","It took a few seconds for her eyes to _____ to the darkness.","adjust"
"adjust","When economic circumstances change, businesses need time to adjust.","When economic circumstances change, businesses need time to _____","adjust"
"adjust","We'll see how this schedule works; then we'll make adjustments as necessary.","We'll see how this schedule works; then we'll make _____ as necessary.","adjustments"
"adjust","Former soldiers often struggle to readjust to life outside the army.","Former soldiers often struggle to _____ to life outside the army.","readjust"
"alter","The city center has altered beyond recognition.","The city center has _____ beyond recognition.","altered"
"alter","Nothing can alter the fact that the refugees are our responsibility.","Nothing can _____ the fact that the refugees are our responsibility.","alter"
"alter","Much of the original building has survived unaltered.","Much of the original building has survived _____","unaltered"
"alter","The editor made a few minor alterations to the text.","The editor made a few minor _____ to the text.","alterations"
"amend","One of the claimed advantages of expert systems are that their knowledge basis can be amended quickly and easily.","One of the claimed advantages of expert systems are that their knowledge basis can be _____ quickly and easily.","amended"
"amend","Lists of amendments or new editions are possible mechanisms for announcing changes.","Lists of _____ or new editions are possible mechanisms for announcing changes.","amendments"
"amend","I have made several amendments to the script.","I have made several _____ to the script.","amendments"
"amend","Until the constitution is amended, the power to appoint ministers will remain with the president.","Until the constitution is _____ the power to appoint ministers will remain with the president.","amended"
"aware","We are not always aware of how we affect others or how they experience our actions.","We are not always _____ of how we affect others or how they experience our actions.","aware"
"aware","Increased environmental awareness has led to a greater demand for recycled paper.","Increased environmental _____ has led to a greater demand for recycled paper.","awareness"
"aware","The campaign aims to raise awareness of the dangers of passive smoking.","The campaign aims to raise _____ of the dangers of passive smoking.","awareness"
"aware","She was totally unaware that she was being watched.","She was totally _____ that she was being watched.","unaware"
"capacity","The fuel tank has a capacity of 200 liters.","The fuel tank has a _____ of 200 liters.","capacity"
"capacity","The factory is now operating at full capacity.","The factory is now operating at full _____","capacity"
"capacity","Her poor health limits her earning capacity.","Her poor health limits her earning _____","capacity"
"capacity","Using powerful lasers, the device can incapacitate enemy radar systems.","Using powerful lasers, the device can _____ enemy radar systems.","incapacitate"
"challenge","I was bored with my job and felt I needed a new challenge.","I was bored with my job and felt I needed a new _____","challenge"
"challenge","The government faces a daunting challenge of completing the building on time.","The government faces a daunting _____ of completing the building on time.","challenge"
"challenge","Recent discoveries pose a serious challenge to accepted views on the age of the universe.","Recent discoveries pose a serious _____ to accepted views on the age of the universe.","challenge"
"challenge","Teaching young children is a challenging and rewarding job.","Teaching young children is a _____ and rewarding job.","challenging"
"clause","There is a clause in the contrast requiring a fee to be paid if the holiday is canceled.","There is a _____ in the contrast requiring a fee to be paid if the holiday is canceled.","clause"
"clause","Clause 4 of the constitution is thought to be the most important section.","_____ 4 of the constitution is thought to be the most important section.","Clause"
"clause","They have added a clause in the contract which says the company can make people redundant for economic reasons.","They have added a _____ in the contract which says the company can make people redundant for economic reasons.","clause"
"clause","All companies must agree to an equal opportunity clause and be able to demonstrate that it is being effectivelyimplemented.","All companies must agree to an equal opportunity _____ and be able to demonstrate that it is being effectivelyimplemented.","clause"
"compound","A reduction in Scotch production would seriously compound these difficulties.","A reduction in Scotch production would seriously _____ these difficulties.","compound"
"compound","These resources tend to be associated with each other, further compounding their uneven distribution.","These resources tend to be associated with each other, further _____ their uneven distribution.","compounding"
"compound","Water is a compound of hydrogen and oxygen.","Water is a _____ of hydrogen and oxygen.","compound"
"compound","Teaching is a compound of several different skills.","Teaching is a _____ of several different skills.","compound"
"conflict","There are also conflicting accounts of the terms of the audit.","There are also _____ accounts of the terms of the audit.","conflicting"
"conflict","He will not voluntarily do anything which conflicts with his personal moral code, nor can he be induced to do so.","He will not voluntarily do anything which _____ with his personal moral code, nor can he be induced to do so.","conflicts"
"conflict","There is a growing conflict of interest between her position as a politician and her business activities.","There is a growing _____ of interest between her position as a politician and her business activities.","conflict"
"conflict","UN troops intervened to avert a threat of violent conflict.","UN troops intervened to avert a threat of violent _____","conflict"
"consult","The specialists, in turn, provide systems support and technical and consultancy services to local customers.","The specialists, in turn, provide systems support and technical and _____ services to local customers.","consultancy"
"consult","If symptoms persist, consult a doctor without delay.","If symptoms persist, _____ a doctor without delay.","consult"
"consult","The decision was taken after close consultation with local residents.","The decision was taken after close _____ with local residents.","consultation"
"consult","A team of management consultants were sent in to reorganize the department.","A team of management _____ were sent in to reorganize the department.","consultants"
"contact","The town is cut off from contact with the outside world.","The town is cut off from _____ with the outside world.","contact"
"contact","When water comes into contact with air, carbon dioxide is released.","When water comes into _____ with air, carbon dioxide is released.","contact"
"contact","Give the names of two people who can be contacted in an emergency.","Give the names of two people who can be _____ in an emergency.","contacted"
"contact","A mobile phone makes you contactable wherever you are.","A mobile phone makes you _____ wherever you are.","contactable"
"decline","With the decline of these markets, the company has been forced to look elsewhere or face the same fate as IBM.","With the _____ of these markets, the company has been forced to look elsewhere or face the same fate as IBM.","decline"
"decline","The number of staff has declined from 121 to 80.","The number of staff has _____ from 121 to 80.","declined"
"decline","Offered the position of chairman, Smith declined, preferring to keep his current job.","Offered the position of chairman, Smith _____ preferring to keep his current job.","declined"
"decline","The island's population initially numbered 180, but there was a gradual decline until only 40 people were left.","The island's population initially numbered 180, but there was a gradual _____ until only 40 people were left.","decline"
"discreet","These grants are discretionary and judged by the needs of the area and the jobs created.","These grants are _____ and judged by the needs of the area and the jobs created.","discretionary"
"discreet","People might gossip if we arrived together. It would be much more discreet for us to go there separately.","People might gossip if we arrived together. It would be much more _____ for us to go there separately.","discreet"
"discreet","It was very indiscreet of John to tell them about his private life.","It was very _____ of John to tell them about his private life.","indiscreet"
"discreet","Shops will exchange unwanted goods entirely at their discretion.","Shops will exchange unwanted goods entirely at their _____","discretion"
"draft","All countries finally approved the final draft of the peace treaty.","All countries finally approved the final _____ of the peace treaty.","draft"
"draft","I showed my adviser a first draft of my paper and he suggested a few changes.","I showed my adviser a first _____ of my paper and he suggested a few changes.","draft"
"draft","The government's first task is to draft a new constitution for the country.","The government's first task is to _____ a new constitution for the country.","draft"
"draft","The speech had already been redrafted 22 times.","The speech had already been _____ 22 times.","redrafted"
"enable","Similarly, disabled persons needed to be enabled by appropriate technology.","Similarly, disabled persons needed to be _____ by appropriate technology.","enabled"
"enable","This option enables you to view a set of up to 20 Issues associated with a single Client.","This option _____ you to view a set of up to 20 Issues associated with a single Client.","enables"
"enable","Enemy communications were destroyed, enabling a surprise attack.","Enemy communications were destroyed, _____ a surprise attack.","enabling"
"enable","This technology will enable users to conduct live video conversations.","This technology will _____ users to conduct live video conversations.","enable"
"energy","Take the Sun, the star from which we ultimately derive nearly all our energy.","Take the Sun, the star from which we ultimately derive nearly all our _____","energy"
"energy","Thus short-wave radiation, which has more energy, is likely to be more dangerous than long wave.","Thus short-wave radiation, which has more _____ is likely to be more dangerous than long wave.","energy"
"energy","We need to be more energetic in promoting ourselves abroad.","We need to be more _____ in promoting ourselves abroad.","energetic"
"energy","Nelson Mandela fought energetically against apartheid.","Nelson Mandela fought _____ against apartheid.","energetically"
"enforce","A legal ban on the hunting of wildlife is not strictly enforced.","A legal ban on the hunting of wildlife is not strictly _____","enforced"
"enforce","This should help ensure that any recommendations made are both practical and enforceable.","This should help ensure that any recommendations made are both practical and _____","enforceable"
"enforce","It is not always easy for the police to enforce speed limits.","It is not always easy for the police to _____ speed limits.","enforce"
"enforce","The doctors want stricter enforcement of existing laws, such as those banning sales of cigarettes to children.","The doctors want stricter _____ of existing laws, such as those banning sales of cigarettes to children.","enforcement"
"entity","The universities often work closely together, but they are separate legal entities.","The universities often work closely together, but they are separate legal _____","entities"
"entity","The mind exists as a separate entity from the body.","The mind exists as a separate _____ from the body.","entity"
"entity","Good design brings a house and garden as a single entity.","Good design brings a house and garden as a single _____","entity"
"entity","These countries can no longer be viewed as a single entity.","These countries can no longer be viewed as a single _____","entity"
"equivalent","Mathematicians among you will notice that these are, in fact, not exact equivalents.","Mathematicians among you will notice that these are, in fact, not exact _____","equivalents"
"equivalent","This word has no equivalent in Japanese.","This word has no _____ in Japanese.","equivalent"
"equivalent","Applicants should have a BS or equivalent degree.","Applicants should have a BS or _____ degree.","equivalent"
"equivalent","This amount of exercise is equivalent to walking about three miles.","This amount of exercise is _____ to walking about three miles.","equivalent"
"evolve","cientists interested in biological diversity, and the evolutionary reasons for it, already see it in that light.","cientists interested in biological diversity, and the _____ reasons for it, already see it in that light.","evolutionary"
"evolve","Computer software will continue to evolve in response to users' needs.","Computer software will continue to _____ in response to users' needs.","evolve"
"evolve","The new fossil finds may tell us more about human evolution.","The new fossil finds may tell us more about human _____","evolution"
"evolve","Slowly, these tiny organisms evolved into multicelled creatures.","Slowly, these tiny organisms _____ into multicelled creatures.","evolved"
"expand","In 1992 we continued to expand our coal production, and mined 1.7 million tonnes by the year end.","In 1992 we continued to _____ our coal production, and mined 1.7 million tonnes by the year end.","expand"
"expand","It also offers the ideal opportunity for employees to expand their work experience.","It also offers the ideal opportunity for employees to _____ their work experience.","expand"
"expand","The rapid expansion of third-world cities can cause social and economic problems.","The rapid _____ of third-world cities can cause social and economic problems.","expansion"
"expand","An active and expansive market is a necessary condition for progress.","An active and _____ market is a necessary condition for progress.","expansive"
"expose","The inaccuracy is possibly due to choosing too high an exposure, so that some black cells are seen as white.","The inaccuracy is possibly due to choosing too high an _____ so that some black cells are seen as white.","exposure"
"expose","Potatoes turn green when exposed to light.","Potatoes turn green when _____ to light.","exposed"
"expose","The report revealed that workers had been exposed to high levels of radiation.","The report revealed that workers had been _____ to high levels of radiation.","exposed"
"expose","Prolonged exposure to the sun can cause skin cancer.","Prolonged _____ to the sun can cause skin cancer.","exposure"
"external","The effect, however, is the same, whether it originates from an external source or from an internal one.","The effect, however, is the same, whether it originates from an _____ source or from an internal one.","external"
"external","Engineers should be aware of the potential for communication breakdowns, especially at internal or externalinterfaces.","Engineers should be aware of the potential for communication breakdowns, especially at internal or _____","externalinterfaces"
"external","The job should be advertised internally and externally.","The job should be advertised internally and _____","externally"
"external","These are people who tend to externalize blame when anything goes wrong at work.","These are people who tend to _____ blame when anything goes wrong at work.","externalize"
"facilitate","A journal such as this which seeks to facilitate the spread of technology is therefore very much to be welcomed.","A journal such as this which seeks to _____ the spread of technology is therefore very much to be welcomed.","facilitate"
"facilitate","Computers can be used to facilitate foreign language learning.","Computers can be used to _____ foreign language learning.","facilitate"
"facilitate","The hotel has excellent leisure facilities.","The hotel has excellent leisure facilities.","99"
"facilitate","I see my role as that of a facilitator, enabling other people to work in the way that suits them best.","I see my role as that of a _____ enabling other people to work in the way that suits them best.","facilitator"
"fundamental","Diversity is of fundamental importance to all ecosystems.","Diversity is of _____ importance to all ecosystems.","fundamental"
"fundamental","The course deals with the fundamentals of modern physics.","The course deals with the _____ of modern physics.","fundamentals"
"fundamental","Water is fundamental to survival.","Water is _____ to survival.","fundamental"
"fundamental","The Internet has fundamentally changed the way people communicate with one another.","The Internet has _____ changed the way people communicate with one another.","fundamentally"
"generate","They then build the plants required to generate the energy.","They then build the plants required to _____ the energy.","generate"
"generate","The advertising campaign generated a lot of interest in our work.","The advertising campaign _____ a lot of interest in our work.","generated"
"generate","The new car factory will generate a lot of jobs in the area.","The new car factory will _____ a lot of jobs in the area.","generate"
"generate","Seventy five percent of France's electricity is generated by nuclear reactors.","Seventy five percent of France's electricity is _____ by nuclear reactors.","generated"
"generation","His work has been rediscovered by a younger generation of scientists.","His work has been rediscovered by a younger _____ of scientists.","generation"
"generation","The story has been handed down from generation to generation.","The story has been handed down from _____ to generation.","generation"
"generation","Some families have lived here for generations.","Some families have lived here for _____","generations"
"generation","It's our duty to preserve the planet for future generations.","It's our duty to preserve the planet for future _____","generations"
"image","Once you are relaxed, focus your attention on the music and see what images come into your mind.","Once you are relaxed, focus your attention on the music and see what _____ come into your mind.","images"
"image","The pair of mutual mirror images have the same relationship that our hands possess.","The pair of mutual mirror _____ have the same relationship that our hands possess.","images"
"image","We have an image of the U.S. as a very rich country.","We have an _____ of the U.S. as a very rich country.","image"
"image","Advertising agencies sometimes use religious imagery to sell products.","Advertising agencies sometimes use religious _____ to sell products.","imagery"
"liberal","Their views on marriage and divorce are very liberal. They accept different opinions and are sympathetic to otherpeople.","Their views on marriage and divorce are very _____ They accept different opinions and are sympathetic to otherpeople.","liberal"
"liberal","Political reform and economic liberalization don't always go together.","Political reform and economic _____ don't always go together.","liberalization"
"liberal","They said they sent troops in to liberate the people from the dictator.","They said they sent troops in to _____ the people from the dictator.","liberate"
"liberal","Apply the glue liberally to both surfaces. You can use the whole tube, if you need.","Apply the glue _____ to both surfaces. You can use the whole tube, if you need.","liberally"
